Tempo,Gasto,Espazo,Dato
2011,1 Gastos de persoal ,12 Galicia,2013252
2011,2 Gastos en bens correntes e servizos ,12 Galicia,505752
2011,3 Gastos financeiros ,12 Galicia,195736
2011,4 Transferencias correntes ,12 Galicia,4658107
2011,5 Fondo de continxencia,12 Galicia,0
2011,6 Investimentos reais ,12 Galicia,677495
2011,7 Transferencias de capital ,12 Galicia,870386
2011,8 Activos financeiros ,12 Galicia,125733
2011,9 Pasivos financeiros ,12 Galicia,409660
2012,1 Gastos de persoal ,12 Galicia,1977678
2012,2 Gastos en bens correntes e servizos ,12 Galicia,506448
2012,3 Gastos financeiros ,12 Galicia,293184
2012,4 Transferencias correntes ,12 Galicia,4628267
2012,5 Fondo de continxencia,12 Galicia,0
2012,6 Investimentos reais ,12 Galicia,401605
2012,7 Transferencias de capital ,12 Galicia,1088675
2012,8 Activos financeiros ,12 Galicia,123733
2012,9 Pasivos financeiros ,12 Galicia,537931
